dataset,index,method,target_mode,aggregation,view,budget_unit,fraction,eligible,gold,budget,gold_density,ceiling,random_expected_recall,recall,precision,ceiling_adjusted_recall,cutoff,cutoff_tie_size,recall_tie_low,recall_tie_high
vt_h6_c1,34,FT_K1,answer_only,signed_sum,raw,eligible_body_tokens,0.4,331,65,133,0.19637462235649547,1.0,0.40181268882175225,1.0,0.48872180451127817,1.0,0.019479861482977867,1,1.0,1.0
vt_h6_c1,35,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,333,67,34,0.2012012012012012,0.5074626865671642,0.1021021021021021,0.5074626865671642,1.0,1.0,0.9061546325683594,1,0.5074626865671642,0.5074626865671642
vt_h6_c1,35,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.2,333,67,67,0.2012012012012012,1.0,0.2012012012012012,0.9402985074626866,0.9402985074626866,0.9402985074626866,0.09188652783632278,1,0.9402985074626866,0.9402985074626866
vt_h6_c1,35,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.3,333,67,100,0.2012012012012012,1.0,0.3003003003003003,0.9701492537313433,0.65,0.9701492537313433,0.0480961836874485,1,0.9701492537313433,0.9701492537313433
vt_h6_c1,35,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.4,333,67,134,0.2012012012012012,1.0,0.4024024024024024,0.9850746268656716,0.4925373134328358,0.9850746268656716,0.03269633650779724,1,0.9850746268656716,0.9850746268656716
vt_h6_c1,35,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.1,333,67,34,0.2012012012012012,0.5074626865671642,0.1021021021021021,0.5074626865671642,1.0,1.0,0.23342737555503845,1,0.5074626865671642,0.5074626865671642
vt_h6_c1,35,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.2,333,67,67,0.2012012012012012,1.0,0.2012012012012012,0.8208955223880597,0.8208955223880597,0.8208955223880597,0.08488129079341888,1,0.8208955223880597,0.8208955223880597
vt_h6_c1,35,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.3,333,67,100,0.2012012012012012,1.0,0.3003003003003003,1.0,0.67,1.0,0.03983857482671738,1,1.0,1.0
vt_h6_c1,35,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.4,333,67,134,0.2012012012012012,1.0,0.4024024024024024,1.0,0.5,1.0,0.021774906665086746,1,1.0,1.0
vt_h6_c1,35,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.1,333,67,34,0.2012012012012012,0.5074626865671642,0.1021021021021021,0.22388059701492538,0.4411764705882353,0.4411764705882353,36.25254440307617,43,0.14925373134328357,0.2835820895522388
vt_h6_c1,35,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.2,333,67,67,0.2012012012012012,1.0,0.2012012012012012,0.44776119402985076,0.44776119402985076,0.44776119402985076,29.004507064819336,37,0.2835820895522388,0.44776119402985076
vt_h6_c1,35,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.3,333,67,100,0.2012012012012012,1.0,0.3003003003003003,0.582089552238806,0.39,0.582089552238806,15.756552696228027,42,0.4626865671641791,0.582089552238806
vt_h6_c1,35,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.4,333,67,134,0.2012012012012012,1.0,0.4024024024024024,0.582089552238806,0.291044776119403,0.582089552238806,12.781096458435059,42,0.582089552238806,0.7164179104477612
vt_h6_c1,35,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,333,67,34,0.2012012012012012,0.5074626865671642,0.1021021021021021,0.22388059701492538,0.4411764705882353,0.4411764705882353,34.51304626464844,43,0.14925373134328357,0.2835820895522388
vt_h6_c1,35,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.2,333,67,67,0.2012012012012012,1.0,0.2012012012012012,0.4626865671641791,0.4626865671641791,0.4626865671641791,26.628816604614258,37,0.29850746268656714,0.4626865671641791
vt_h6_c1,35,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.3,333,67,100,0.2012012012012012,1.0,0.3003003003003003,0.4626865671641791,0.31,0.4626865671641791,14.68579387664795,42,0.4626865671641791,0.5970149253731343
vt_h6_c1,35,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.4,333,67,134,0.2012012012012012,1.0,0.4024024024024024,0.5970149253731343,0.29850746268656714,0.5970149253731343,13.477996826171875,42,0.5970149253731343,0.7164179104477612
