dataset,method,aggregation,view,budget_unit,fraction,n,precision,recall,f1,exact_match,complete_support,token_recall,fact_recall_ceiling,spent_tokens,unused_tokens,selected_sentences,empty_selection,ceiling,budget,recall_tie_low,recall_tie_high
vt_h10_c1,AttnLRP,native_positive_normalized,density,eligible_body_tokens,0.05,100,1.0,0.16537378248954515,,,,,,,,,,0.16537378248954515,17.0,0.16537378248954515,0.16537378248954515
vt_h10_c1,AttnLRP,native_positive_normalized,density,eligible_body_tokens,0.1,100,1.0,0.3260639836955653,,,,,,,,,,0.3260639836955653,33.53,0.3260639836955653,0.3260639836955653
vt_h10_c1,AttnLRP,native_positive_normalized,density,eligible_body_tokens,0.2,100,1.0,0.6471371001796151,,,,,,,,,,0.6471371001796151,66.54,0.6471371001796151,0.6471371001796151
vt_h10_c1,AttnLRP,native_positive_normalized,raw,eligible_body_tokens,0.05,100,1.0,0.16537378248954515,,,,,,,,,,0.16537378248954515,17.0,0.16537378248954515,0.16537378248954515
vt_h10_c1,AttnLRP,native_positive_normalized,raw,eligible_body_tokens,0.1,100,1.0,0.3260639836955653,,,,,,,,,,0.3260639836955653,33.53,0.3260639836955653,0.3260639836955653
vt_h10_c1,AttnLRP,native_positive_normalized,raw,eligible_body_tokens,0.2,100,0.9559573451131835,0.6186065560692664,,,,,,,,,,0.6471371001796151,66.54,0.6186065560692664,0.6186065560692664
vt_h10_c1,AttnLRP,signed_sum,density,eligible_body_tokens,0.05,100,1.0,0.16537378248954515,,,,,,,,,,0.16537378248954515,17.0,0.16537378248954515,0.16537378248954515
vt_h10_c1,AttnLRP,signed_sum,density,eligible_body_tokens,0.1,100,1.0,0.3260639836955653,,,,,,,,,,0.3260639836955653,33.53,0.3260639836955653,0.3260639836955653
vt_h10_c1,AttnLRP,signed_sum,density,eligible_body_tokens,0.2,100,1.0,0.6471371001796151,,,,,,,,,,0.6471371001796151,66.54,0.6471371001796151,0.6471371001796151
vt_h10_c1,AttnLRP,signed_sum,raw,eligible_body_tokens,0.05,100,1.0,0.16537378248954515,,,,,,,,,,0.16537378248954515,17.0,0.16537378248954515,0.16537378248954515
vt_h10_c1,AttnLRP,signed_sum,raw,eligible_body_tokens,0.1,100,1.0,0.3260639836955653,,,,,,,,,,0.3260639836955653,33.53,0.3260639836955653,0.3260639836955653
vt_h10_c1,AttnLRP,signed_sum,raw,eligible_body_tokens,0.2,100,0.9559573451131835,0.6186065560692664,,,,,,,,,,0.6471371001796151,66.54,0.6186065560692664,0.6186065560692664
vt_h10_c1,CLP,native_positive_normalized,density,eligible_body_tokens,0.05,100,0.5529411764705882,0.09148107932318171,,,,,,,,,,0.16537378248954515,17.0,0.09148107932318171,0.09148107932318171
vt_h10_c1,CLP,native_positive_normalized,density,eligible_body_tokens,0.1,100,0.4051336898395721,0.13212670438551263,,,,,,,,,,0.3260639836955653,33.53,0.13212670438551263,0.13212670438551263
vt_h10_c1,CLP,native_positive_normalized,density,eligible_body_tokens,0.2,100,0.4156196148013532,0.2689020569746415,,,,,,,,,,0.6471371001796151,66.54,0.2689020569746415,0.2689020569746415
vt_h10_c1,CLP,native_positive_normalized,raw,eligible_body_tokens,0.05,100,0.5758823529411764,0.09520435301144758,,,,,,,,,,0.16537378248954515,17.0,0.0002830188679245283,0.16338585481373497
