target_mode,labels,subset,n,budget_unit,budget_value,method,precision,recall,f1,exact_match,complete_support,token_recall,fact_recall_ceiling,spent_tokens,unused_tokens,selected_sentences
answer_only,review_corrected,unambiguous45,45,body_tokens,0.05,FT_K3,0.4663492063492063,0.4888888888888888,0.4488183421516755,0.0,0.1111111111111111,0.4370140113096297,0.6444444444444444,56.55555555555556,2.911111111111111,2.8444444444444446
answer_only,review_corrected,unambiguous45,45,body_tokens,0.1,DT_target,0.4024503891170558,0.6925925925925926,0.4812018845352178,0.06666666666666667,0.35555555555555557,0.670928592546487,0.9259259259259258,115.57777777777778,2.8666666666666667,5.0
answer_only,review_corrected,unambiguous45,45,body_tokens,0.1,FT_K1,0.40786596119929447,0.6870370370370371,0.4858120891454225,0.022222222222222223,0.3111111111111111,0.6391345235040807,0.9259259259259258,114.62222222222222,3.8222222222222224,4.911111111111111
answer_only,review_corrected,unambiguous45,45,body_tokens,0.1,FT_K3,0.43045855379188713,0.6944444444444445,0.50000962000962,0.022222222222222223,0.3333333333333333,0.6628466606887036,0.9259259259259258,114.73333333333333,3.7111111111111112,4.822222222222222
answer_only,review_corrected,unambiguous45,45,body_tokens,0.2,DT_target,0.25993574326907654,0.8611111111111112,0.38754442425371666,0.0,0.6888888888888889,0.8404164432009824,1.0,233.64444444444445,2.8222222222222224,9.466666666666667
answer_only,review_corrected,unambiguous45,45,body_tokens,0.2,FT_K1,0.25003755503755504,0.8277777777777776,0.3721918314075176,0.0,0.5777777777777777,0.7960262507697063,1.0,232.95555555555555,3.511111111111111,9.355555555555556
answer_only,review_corrected,unambiguous45,45,body_tokens,0.2,FT_K3,0.2503742553742554,0.8277777777777776,0.3726802318959181,0.0,0.5777777777777777,0.7960262507697063,1.0,233.24444444444444,3.2222222222222223,9.333333333333334
answer_only,review_corrected,unambiguous45,45,sentences,2,DT_target,0.6333333333333333,0.5111111111111111,0.5562962962962963,0.08888888888888889,0.08888888888888889,0.4853586642180354,0.8296296296296294,54.733333333333334,0.0,2.0
answer_only,review_corrected,unambiguous45,45,sentences,2,FT_K1,0.6888888888888889,0.5555555555555556,0.6051851851851852,0.13333333333333333,0.13333333333333333,0.5251758025326402,0.8296296296296294,55.93333333333333,0.0,2.0
answer_only,review_corrected,unambiguous45,45,sentences,2,FT_K3,0.7111111111111111,0.5740740740740742,0.6251851851851852,0.15555555555555556,0.15555555555555556,0.5358757358132187,0.8296296296296294,55.888888888888886,0.0,2.0
answer_only,review_corrected,unambiguous45,45,sentences,4,DT_target,0.4722222222222222,0.75,0.5701058201058202,0.0,0.4666666666666667,0.7201848699658399,1.0,108.8,0.0,4.0
answer_only,review_corrected,unambiguous45,45,sentences,4,FT_K1,0.45555555555555555,0.7296296296296296,0.551851851851852,0.0,0.4,0.6975474502571194,1.0,107.24444444444444,0.0,4.0
answer_only,review_corrected,unambiguous45,45,sentences,4,FT_K3,0.45555555555555555,0.7296296296296296,0.551851851851852,0.0,0.4,0.6975474502571194,1.0,106.95555555555555,0.0,4.0
answer_only,review_corrected,unambiguous45,45,sentences,8,DT_target,0.2722222222222222,0.8629629629629628,0.40848484848484845,0.0,0.6888888888888889,0.8362033201060116,1.0,215.2,0.0,8.0
answer_only,review_corrected,unambiguous45,45,sentences,8,FT_K1,0.25833333333333336,0.811111111111111,0.38666666666666655,0.0,0.5333333333333333,0.780911646034619,1.0,219.17777777777778,0.0,8.0
answer_only,review_corrected,unambiguous45,45,sentences,8,FT_K3,0.25833333333333336,0.811111111111111,0.38666666666666655,0.0,0.5333333333333333,0.780911646034619,1.0,219.35555555555555,0.0,8.0
