dataset,index,method,recall,rise,mas
niah_mq_q2,67,FT_K1,0.28205128205128205,0.13911483253588516,0.2581563467533611
niah_mq_q2,67,ifr-tokenwise,0.15384615384615385,0.167822966507177,0.24764159042090586
niah_mq_q2,67,FT_K3,0.3076923076923077,,
niah_mq_q2,68,DT,0.9487179487179487,0.075,0.08291172542099401
niah_mq_q2,68,FT_K1,0.7435897435897436,0.05327380952380952,0.23563764705874038
niah_mq_q2,68,ifr-tokenwise,0.7692307692307693,0.04821428571428571,0.22762599061819727
niah_mq_q2,68,FT_K3,0.7692307692307693,,
niah_mq_q2,69,DT,0.4358974358974359,0.20357142857142857,0.2811301995237747
niah_mq_q2,69,FT_K1,0.3076923076923077,0.18137755102040817,0.2706814283851795
niah_mq_q2,69,ifr-tokenwise,0.23076923076923078,0.20025510204081626,0.2623441531994678
niah_mq_q2,69,FT_K3,0.3076923076923077,,
niah_mq_q2,70,DT,0.9473684210526315,0.09839743589743588,0.1410874517193554
niah_mq_q2,70,FT_K1,0.7894736842105263,0.07884615384615383,0.24501135955469375
niah_mq_q2,70,ifr-tokenwise,0.7894736842105263,0.07628205128205127,0.24726941673408076
niah_mq_q2,70,FT_K3,0.8421052631578947,,
niah_mq_q2,71,DT,0.3953488372093023,0.14714912280701756,0.1827707199743532
niah_mq_q2,71,FT_K1,0.32558139534883723,0.1385964912280702,0.2692340757838584
niah_mq_q2,71,ifr-tokenwise,0.18604651162790697,0.15592105263157893,0.2663935365682637
niah_mq_q2,71,FT_K3,0.32558139534883723,,
niah_mq_q2,72,DT,0.825,0.06840659340659341,0.08785254175637107
niah_mq_q2,72,FT_K1,0.825,0.05192307692307692,0.24071593774257485
niah_mq_q2,72,ifr-tokenwise,0.775,0.05357142857142857,0.24092288671091588
niah_mq_q2,72,FT_K3,0.825,,
niah_mq_q2,73,DT,0.4444444444444444,0.1723846153846154,0.2401159021907035
niah_mq_q2,73,FT_K1,0.2777777777777778,0.12530769230769231,0.2752463074638503
niah_mq_q2,73,ifr-tokenwise,0.16666666666666666,0.13853846153846155,0.26455853478246993
niah_mq_q2,73,FT_K3,0.3055555555555556,,
niah_mq_q2,74,DT,0.38095238095238093,0.19753731343283581,0.27579808055205374
niah_mq_q2,74,FT_K1,0.30952380952380953,0.14052238805970146,0.27038827133247834
niah_mq_q2,74,ifr-tokenwise,0.14285714285714285,0.15992537313432836,0.2706885309660101
niah_mq_q2,74,FT_K3,0.2857142857142857,,
niah_mq_q2,75,DT,0.9210526315789473,0.0858910891089109,0.11072522730295768
niah_mq_q2,75,FT_K1,0.7105263157894737,0.08910891089108912,0.24997947839739315
niah_mq_q2,75,ifr-tokenwise,0.7894736842105263,0.10099009900990101,0.2482280306257238
niah_mq_q2,75,FT_K3,0.7631578947368421,,
niah_mq_q2,76,DT,0.9487179487179487,0.03723404255319148,0.0643364196215828
niah_mq_q2,76,FT_K1,0.7948717948717948,0.05478723404255319,0.24449142893599904
niah_mq_q2,76,ifr-tokenwise,0.7435897435897436,0.04893617021276595,0.2523918362515295
niah_mq_q2,76,FT_K3,0.8205128205128205,,
niah_mq_q2,77,DT,0.4146341463414634,0.12708877284595302,0.1426187308952147
niah_mq_q2,77,FT_K1,0.1951219512195122,0.1137728459530026,0.2664037336167501
niah_mq_q2,77,ifr-tokenwise,0.14634146341463414,0.129177545691906,0.25444389690635305
niah_mq_q2,77,FT_K3,0.24390243902439024,,
niah_mq_q2,78,DT,0.9230769230769231,0.04494134897360704,0.0682309474928941
niah_mq_q2,78,FT_K1,0.7948717948717948,0.04846041055718475,0.24728048744691272
niah_mq_q2,78,ifr-tokenwise,0.7948717948717948,0.054912023460410554,0.2382782374976601
niah_mq_q2,78,FT_K3,0.7948717948717948,,
niah_mq_q2,79,DT,0.9230769230769231,0.05763157894736842,0.08414544203652743
niah_mq_q2,79,FT_K1,0.7692307692307693,0.05026315789473684,0.2532284319929413
niah_mq_q2,79,ifr-tokenwise,0.7692307692307693,0.05394736842105263,0.24819125719144863
niah_mq_q2,79,FT_K3,0.7948717948717948,,
niah_mq_q2,80,DT,0.425,0.15557142857142858,0.2109172646011738
niah_mq_q2,80,FT_K1,0.375,0.10642857142857143,0.2624594380370623
niah_mq_q2,80,ifr-tokenwise,0.225,0.11157142857142857,0.26415005334546415
niah_mq_q2,80,FT_K3,0.4,,
niah_mq_q2,81,DT,0.358974358974359,0.16645077720207255,0.21812864739543664
niah_mq_q2,81,FT_K1,0.28205128205128205,0.14132124352331607,0.2576989365229637
niah_mq_q2,81,ifr-tokenwise,0.1794871794871795,0.16904145077720206,0.24917970982197796
niah_mq_q2,81,FT_K3,0.3076923076923077,,
niah_mq_q2,82,DT,0.39473684210526316,0.15125698324022346,0.2039115839937981
niah_mq_q2,82,FT_K1,0.3157894736842105,0.12639664804469272,0.27333110029425567
niah_mq_q2,82,ifr-tokenwise,0.2631578947368421,0.12974860335195532,0.25702524332958776
niah_mq_q2,82,FT_K3,0.3157894736842105,,
niah_mq_q2,83,DT,0.375,0.17687165775401067,0.24548831287335351
niah_mq_q2,83,FT_K1,0.275,0.12927807486631016,0.25778196871958337
niah_mq_q2,83,ifr-tokenwise,0.125,0.1557486631016043,0.2460320404526529
niah_mq_q2,83,FT_K3,0.275,,
niah_mq_q2,84,DT,0.9736842105263158,0.052761194029850744,0.07317209675156797
niah_mq_q2,84,FT_K1,0.7894736842105263,0.039925373134328354,0.23997016645884078
niah_mq_q2,84,ifr-tokenwise,0.7894736842105263,0.046791044776119395,0.24143992358546282
niah_mq_q2,84,FT_K3,0.8157894736842105,,
niah_mq_q2,85,DT,0.8648648648648649,0.10535714285714282,0.14420670124413146
niah_mq_q2,85,FT_K1,0.8108108108108109,0.08903061224489792,0.23140820553797323
niah_mq_q2,85,ifr-tokenwise,0.7837837837837838,0.09591836734693879,0.2469661972736794
niah_mq_q2,85,FT_K3,0.8378378378378378,,
niah_mq_q2,86,DT,0.38461538461538464,0.14470588235294118,0.18560713257373776
niah_mq_q2,86,FT_K1,0.358974358974359,0.10970588235294118,0.2619696488382327
niah_mq_q2,86,ifr-tokenwise,0.2564102564102564,0.13117647058823528,0.2502534503739084
