dataset,index,source_start,source_end,DT,DT_source,DT_query_budget_fraction,DT_instruction_budget_fraction,DT_source_gain,source_eligible,budget,ceiling,FT,FT_source,FT_query_budget_fraction,FT_instruction_budget_fraction,FT_source_gain
niah_mq_q2,11,138,1328,0.5,0.75,0.22580645161290322,0.12903225806451613,0.25,243,31,0.775,0.325,0.7,0.5161290322580645,0.0,0.37499999999999994
niah_mq_q2,12,138,1312,0.35,0.775,0.3870967741935484,0.16129032258064516,0.42500000000000004,243,31,0.775,0.2,0.7,0.7096774193548387,0.03225806451612903,0.49999999999999994
niah_mq_q2,13,138,4272,0.95,0.95,0.2988505747126437,0.16091954022988506,0.0,802,87,1.0,0.825,0.975,0.4827586206896552,0.04597701149425287,0.15000000000000002
niah_mq_q2,14,138,4269,0.95,1.0,0.2988505747126437,0.1839080459770115,0.050000000000000044,802,87,1.0,0.7,0.925,0.4827586206896552,0.05747126436781609,0.2250000000000001
niah_mq_q2,15,138,1321,0.4634146341463415,0.7560975609756098,0.25,0.125,0.2926829268292683,244,32,0.7804878048780488,0.2682926829268293,0.7560975609756098,0.59375,0.03125,0.4878048780487805
niah_mq_q2,16,138,1323,0.42105263157894735,0.7894736842105263,0.3548387096774194,0.12903225806451613,0.368421052631579,241,31,0.8157894736842105,0.23684210526315788,0.7368421052631579,0.6774193548387096,0.03225806451612903,0.5
niah_mq_q2,17,138,1316,0.4146341463414634,0.7560975609756098,0.3125,0.15625,0.34146341463414637,244,32,0.7804878048780488,0.1951219512195122,0.6829268292682927,0.6875,0.03125,0.48780487804878053
niah_mq_q2,18,138,4267,0.918918918918919,0.972972972972973,0.2441860465116279,0.12790697674418605,0.05405405405405406,799,86,1.0,0.7837837837837838,0.918918918918919,0.43023255813953487,0.06976744186046512,0.1351351351351352
niah_mq_q2,19,138,1313,0.38461538461538464,0.7692307692307693,0.3548387096774194,0.16129032258064516,0.38461538461538464,242,31,0.7948717948717948,0.20512820512820512,0.6923076923076923,0.7096774193548387,0.03225806451612903,0.48717948717948717
niah_mq_q2,20,138,1315,0.45,0.75,0.2903225806451613,0.12903225806451613,0.3,243,31,0.775,0.225,0.7,0.7096774193548387,0.0,0.475
niah_mq_q2,21,138,4262,0.9487179487179487,1.0,0.367816091954023,0.14942528735632185,0.05128205128205132,801,87,1.0,0.7692307692307693,0.9230769230769231,0.47126436781609193,0.04597701149425287,0.15384615384615385
niah_mq_q2,22,138,1318,0.40476190476190477,0.6428571428571429,0.25,0.15625,0.23809523809523814,245,32,0.7619047619047619,0.16666666666666666,0.6666666666666666,0.71875,0.0625,0.5
niah_mq_q2,23,138,4274,0.9473684210526315,0.9736842105263158,0.28735632183908044,0.16091954022988506,0.026315789473684292,800,87,1.0,0.8421052631578947,0.9210526315789473,0.4367816091954023,0.05747126436781609,0.07894736842105265
niah_mq_q2,24,138,1316,0.5128205128205128,0.7948717948717948,0.22580645161290322,0.12903225806451613,0.28205128205128205,242,31,0.7948717948717948,0.15384615384615385,0.6666666666666666,0.7741935483870968,0.03225806451612903,0.5128205128205128
niah_mq_q2,25,138,4272,0.9743589743589743,0.9743589743589743,0.1724137931034483,0.14942528735632185,0.0,801,87,1.0,0.8205128205128205,0.8717948717948718,0.4482758620689655,0.06896551724137931,0.05128205128205132
niah_mq_q2,26,138,4275,1.0,1.0,0.22988505747126436,0.16091954022988506,0.0,801,87,1.0,0.8461538461538461,0.9230769230769231,0.45977011494252873,0.05747126436781609,0.07692307692307698
niah_mq_q2,27,138,4274,0.925,0.95,0.28735632183908044,0.16091954022988506,0.02499999999999991,802,87,1.0,0.875,0.925,0.4827586206896552,0.04597701149425287,0.050000000000000044
niah_mq_q2,28,138,4265,0.9743589743589743,1.0,0.2988505747126437,0.16091954022988506,0.02564102564102566,801,87,1.0,0.7948717948717948,0.9230769230769231,0.45977011494252873,0.04597701149425287,0.1282051282051283
niah_mq_q2,29,138,1308,0.47368421052631576,0.7894736842105263,0.25806451612903225,0.12903225806451613,0.31578947368421056,241,31,0.8157894736842105,0.2631578947368421,0.7631578947368421,0.6129032258064516,0.03225806451612903,0.5
niah_mq_q2,30,138,1315,0.375,0.75,0.3870967741935484,0.12903225806451613,0.375,243,31,0.775,0.225,0.7,0.6451612903225806,0.03225806451612903,0.475
niah_mq_q2,31,138,4269,1.0,1.0,0.3218390804597701,0.1839080459770115,0.0,801,87,1.0,0.8461538461538461,0.9743589743589743,0.45977011494252873,0.05747126436781609,0.1282051282051282
niah_mq_q2,32,138,1317,0.39473684210526316,0.7894736842105263,0.3870967741935484,0.12903225806451613,0.39473684210526316,241,31,0.8157894736842105,0.18421052631578946,0.6842105263157895,0.6774193548387096,0.03225806451612903,0.5
niah_mq_q2,33,138,4269,0.9743589743589743,0.9743589743589743,0.26436781609195403,0.20689655172413793,0.0,801,87,1.0,0.8205128205128205,0.9487179487179487,0.45977011494252873,0.05747126436781609,0.1282051282051282
niah_mq_q2,34,138,1322,0.39473684210526316,0.7894736842105263,0.3548387096774194,0.16129032258064516,0.39473684210526316,241,31,0.8157894736842105,0.18421052631578946,0.7105263157894737,0.6774193548387096,0.03225806451612903,0.5263157894736842
