dataset,index,method,rise,mas,recall
niah_mq_q2,26,FT_K3,,,0.8205128205128205
niah_mq_q2,27,DT,0.055939226519337026,0.07850530689410526,1.0
niah_mq_q2,27,FT_K1,0.047928176795580105,0.24243209989990838,0.8
niah_mq_q2,27,FT_K3,,,0.85
niah_mq_q2,28,DT,0.04959893048128342,0.08081280469327948,1.0
niah_mq_q2,28,FT_K1,0.04371657754010696,0.23422824720026258,0.8205128205128205
niah_mq_q2,28,FT_K3,,,0.8205128205128205
niah_mq_q2,29,DT,0.11878881987577641,0.15639547470701554,0.5
niah_mq_q2,29,FT_K1,0.1125776397515528,0.25676518446392976,0.2631578947368421
niah_mq_q2,29,FT_K3,,,0.2894736842105263
niah_mq_q2,30,DT,0.1089779005524862,0.12941038622071002,0.5
niah_mq_q2,30,FT_K1,0.11201657458563537,0.25548526234218727,0.2
niah_mq_q2,30,FT_K3,,,0.25
niah_mq_q2,31,DT,0.05473684210526316,0.08186392632432689,0.9743589743589743
niah_mq_q2,31,FT_K1,0.05578947368421052,0.23145746185225774,0.7692307692307693
niah_mq_q2,31,FT_K3,,,0.8205128205128205
niah_mq_q2,32,DT,0.1053370786516854,0.13262599867703523,0.5
niah_mq_q2,32,FT_K1,0.11264044943820226,0.26611499723528487,0.15789473684210525
niah_mq_q2,32,FT_K3,,,0.21052631578947367
niah_mq_q2,33,DT,0.08753602305475508,0.11336455558517082,1.0
niah_mq_q2,33,FT_K1,0.060446685878962535,0.24851755592208208,0.8205128205128205
niah_mq_q2,33,FT_K3,,,0.8461538461538461
niah_mq_q2,34,DT,0.13543689320388347,0.17762356900669474,0.4473684210526316
niah_mq_q2,34,FT_K1,0.12912621359223303,0.27328709084305286,0.2894736842105263
niah_mq_q2,34,FT_K3,,,0.2894736842105263
niah_mq_q2,35,DT,0.0654092071611253,0.08875037936966465,0.9736842105263158
niah_mq_q2,35,FT_K1,0.0828005115089514,0.23541274397617634,0.7631578947368421
niah_mq_q2,35,FT_K3,,,0.7894736842105263
niah_mq_q2,36,DT,0.1480971128608924,0.18277535291990943,0.5238095238095238
niah_mq_q2,36,FT_K1,0.12762467191601048,0.26162538356897375,0.30952380952380953
niah_mq_q2,36,FT_K3,,,0.30952380952380953
niah_mq_q2,37,DT,0.11539548022598871,0.131124563212466,0.5128205128205128
niah_mq_q2,37,FT_K1,0.125,0.2555912223689881,0.2564102564102564
niah_mq_q2,37,FT_K3,,,0.3076923076923077
niah_mq_q2,38,DT,0.059239130434782614,0.08500912014593795,0.975
niah_mq_q2,38,FT_K1,0.053260869565217396,0.2490670777719825,0.775
niah_mq_q2,38,FT_K3,,,0.775
niah_mq_q2,39,DT,0.10833333333333335,0.12747973780423186,0.48717948717948717
niah_mq_q2,39,FT_K1,0.10182291666666668,0.2679598957952109,0.2564102564102564
niah_mq_q2,39,FT_K3,,,0.2564102564102564
niah_mq_q2,40,DT,0.07525380710659899,0.1004927714217424,1.0
niah_mq_q2,40,FT_K1,0.09657360406091371,0.2521189732320529,0.7567567567567568
niah_mq_q2,40,FT_K3,,,0.8108108108108109
niah_mq_q2,41,DT,0.04084699453551912,0.05717112530058967,1.0
niah_mq_q2,41,FT_K1,0.0424863387978142,0.24055906116073889,0.8157894736842105
niah_mq_q2,41,FT_K3,,,0.8421052631578947
niah_mq_q2,42,DT,0.12725988700564972,0.1632673446225102,0.5384615384615384
niah_mq_q2,42,FT_K1,0.10494350282485876,0.2717134778421655,0.3076923076923077
niah_mq_q2,42,FT_K3,,,0.3076923076923077
niah_mq_q2,43,DT,0.10445945945945945,0.12016728128304513,0.48717948717948717
