dataset,index,method,recall,rise,mas
vt_h2_c3,32,FT_K1,0.6333333333333333,0.1726489028213166,0.24591044789864705
vt_h2_c3,32,ifr-tokenwise,0.7666666666666667,0.17405956112852666,0.2492527031945791
vt_h2_c3,32,FT_K3,0.6333333333333333,,
vt_h2_c3,33,DT,0.8275862068965517,0.11588319088319085,0.13148399696240357
vt_h2_c3,33,FT_K1,0.6896551724137931,0.15890313390313393,0.23034657543240167
vt_h2_c3,33,ifr-tokenwise,0.7586206896551724,0.16901709401709403,0.24460938183284142
vt_h2_c3,33,FT_K3,0.6896551724137931,,
vt_h2_c3,34,DT,0.8076923076923077,0.11451612903225808,0.12783028063361485
vt_h2_c3,34,FT_K1,0.7692307692307693,0.16478494623655915,0.2300791332038994
vt_h2_c3,34,ifr-tokenwise,0.8846153846153846,0.1766129032258065,0.2528476104580756
vt_h2_c3,34,FT_K3,0.7692307692307693,,
vt_h2_c3,35,DT,0.7666666666666667,0.11868863955119216,0.14371985271405802
vt_h2_c3,35,FT_K1,0.6,0.15234922861150071,0.2312673937073643
vt_h2_c3,35,ifr-tokenwise,0.7333333333333333,0.169179523141655,0.23867864524891447
vt_h2_c3,35,FT_K3,0.6,,
vt_h2_c3,36,DT,0.8214285714285714,0.10680555555555556,0.12377491838751994
vt_h2_c3,36,FT_K1,0.7142857142857143,0.14472222222222225,0.21358121192116317
vt_h2_c3,36,ifr-tokenwise,0.7857142857142857,0.16319444444444445,0.23862746262363652
vt_h2_c3,36,FT_K3,0.7142857142857143,,
vt_h2_c3,37,DT,0.7419354838709677,0.12613960113960115,0.14440274135755
vt_h2_c3,37,FT_K1,0.6129032258064516,0.1557692307692308,0.23467576483909372
vt_h2_c3,37,ifr-tokenwise,0.7096774193548387,0.16659544159544157,0.24329636421380346
vt_h2_c3,37,FT_K3,0.6129032258064516,,
vt_h2_c3,38,DT,0.75,0.18431818181818183,0.2854364294627519
vt_h2_c3,38,FT_K1,0.5714285714285714,0.14431818181818185,0.20404333670617314
vt_h2_c3,38,ifr-tokenwise,0.7142857142857143,0.15045454545454545,0.1927442488067465
vt_h2_c3,38,FT_K3,0.5714285714285714,,
vt_h2_c3,39,DT,0.8928571428571429,0.1285139092240117,0.15429580955812275
vt_h2_c3,39,FT_K1,0.75,0.16233528550512447,0.22448837329593094
vt_h2_c3,39,ifr-tokenwise,0.8214285714285714,0.17595168374816983,0.2416102645262222
vt_h2_c3,39,FT_K3,0.75,,
vt_h2_c3,40,DT,0.7931034482758621,0.13224637681159418,0.14920629537160215
vt_h2_c3,40,FT_K1,0.7241379310344828,0.1710869565217391,0.24202126345473002
vt_h2_c3,40,ifr-tokenwise,0.7586206896551724,0.17615942028985504,0.25906775642992586
vt_h2_c3,40,FT_K3,0.7241379310344828,,
vt_h2_c3,41,DT,0.65625,0.1327294685990338,0.1696591597147205
vt_h2_c3,41,FT_K1,0.65625,0.13079710144927537,0.18627879776243286
vt_h2_c3,41,ifr-tokenwise,0.75,0.13659420289855073,0.17775071663575986
vt_h2_c3,41,FT_K3,0.65625,,
vt_h2_c3,42,DT,0.8928571428571429,0.11329629629629627,0.12550764994847935
vt_h2_c3,42,FT_K1,0.75,0.15359259259259259,0.22640821953205248
vt_h2_c3,42,ifr-tokenwise,0.7857142857142857,0.15729629629629632,0.22867500145112407
vt_h2_c3,42,FT_K3,0.75,,
vt_h2_c3,43,DT,0.8,0.1232248520710059,0.1367797199119888
vt_h2_c3,43,FT_K1,0.6,0.1596153846153846,0.2303498942902488
