index,target_mode,method,pooling,budget_unit,budget_value,budget,all_body_tokens,precision,recall,f1,exact_match,complete_support,true_positive,predicted,gold,spent_all_tokens,unused_all_tokens,selected_sentences,empty_selection,token_recall,fact_recall_ceiling
2,full,FT_K3,positive_mean_eligible,all_body_tokens,0.2,237,1183,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.0,0.0,2,6,3,228,9,6,0,0.65,1.0
2,full,FT_K3,positive_mean_eligible,sentences,2,2,1183,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,78,0,2,0,0.65,0.6666666666666666
2,full,FT_K3,positive_mean_eligible,sentences,4,4,1183,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,2,4,3,167,0,4,0,0.65,1.0
2,full,FT_K3,positive_mean_eligible,sentences,8,8,1183,0.25,0.6666666666666666,0.36363636363636365,0.0,0.0,2,8,3,274,0,8,0,0.65,1.0
3,full,DT_target,signed_sum,all_body_tokens,0.05,48,945,1.0,0.5,0.6666666666666666,0.0,0.0,1,1,2,33,15,1,0,0.5076923076923077,0.5
3,full,DT_target,signed_sum,all_body_tokens,0.1,95,945,0.5,0.5,0.5,0.0,0.0,1,2,2,85,10,2,0,0.5076923076923077,1.0
3,full,DT_target,signed_sum,all_body_tokens,0.2,189,945,0.5,1.0,0.6666666666666666,0.0,1.0,2,4,2,145,44,4,0,1.0,1.0
3,full,DT_target,signed_sum,sentences,2,2,945,0.5,0.5,0.5,0.0,0.0,1,2,2,85,0,2,0,0.5076923076923077,1.0
3,full,DT_target,signed_sum,sentences,4,4,945,0.5,1.0,0.6666666666666666,0.0,1.0,2,4,2,145,0,4,0,1.0,1.0
3,full,DT_target,signed_sum,sentences,8,8,945,0.25,1.0,0.4,0.0,1.0,2,8,2,286,0,8,0,1.0,1.0
3,full,DT_target,positive_mean_eligible,all_body_tokens,0.05,48,945,1.0,0.5,0.6666666666666666,0.0,0.0,1,1,2,32,16,1,0,0.49230769230769234,0.5
3,full,DT_target,positive_mean_eligible,all_body_tokens,0.1,95,945,0.3333333333333333,0.5,0.4,0.0,0.0,1,3,2,70,25,3,0,0.49230769230769234,1.0
3,full,DT_target,positive_mean_eligible,all_body_tokens,0.2,189,945,0.2857142857142857,1.0,0.4444444444444445,0.0,1.0,2,7,2,168,21,7,0,1.0,1.0
3,full,DT_target,positive_mean_eligible,sentences,2,2,945,0.5,0.5,0.5,0.0,0.0,1,2,2,49,0,2,0,0.49230769230769234,1.0
3,full,DT_target,positive_mean_eligible,sentences,4,4,945,0.5,1.0,0.6666666666666666,0.0,1.0,2,4,2,103,0,4,0,1.0,1.0
3,full,DT_target,positive_mean_eligible,sentences,8,8,945,0.25,1.0,0.4,0.0,1.0,2,8,2,220,0,8,0,1.0,1.0
3,full,FT_K1,signed_sum,all_body_tokens,0.05,48,945,1.0,0.5,0.6666666666666666,0.0,0.0,1,1,2,32,16,1,0,0.49230769230769234,0.5
3,full,FT_K1,signed_sum,all_body_tokens,0.1,95,945,0.3333333333333333,0.5,0.4,0.0,0.0,1,3,2,82,13,3,0,0.49230769230769234,1.0
3,full,FT_K1,signed_sum,all_body_tokens,0.2,189,945,0.2,0.5,0.28571428571428575,0.0,0.0,1,5,2,171,18,5,0,0.49230769230769234,1.0
3,full,FT_K1,signed_sum,sentences,2,2,945,0.5,0.5,0.5,0.0,0.0,1,2,2,53,0,2,0,0.49230769230769234,1.0
3,full,FT_K1,signed_sum,sentences,4,4,945,0.25,0.5,0.3333333333333333,0.0,0.0,1,4,2,134,0,4,0,0.49230769230769234,1.0
3,full,FT_K1,signed_sum,sentences,8,8,945,0.125,0.5,0.2,0.0,0.0,1,8,2,239,0,8,0,0.49230769230769234,1.0
3,full,FT_K1,positive_mean_eligible,all_body_tokens,0.05,48,945,1.0,0.5,0.6666666666666666,0.0,0.0,1,1,2,32,16,1,0,0.49230769230769234,0.5
3,full,FT_K1,positive_mean_eligible,all_body_tokens,0.1,95,945,0.25,0.5,0.3333333333333333,0.0,0.0,1,4,2,84,11,4,0,0.49230769230769234,1.0
3,full,FT_K1,positive_mean_eligible,all_body_tokens,0.2,189,945,0.125,0.5,0.2,0.0,0.0,1,8,2,184,5,8,0,0.49230769230769234,1.0
3,full,FT_K1,positive_mean_eligible,sentences,2,2,945,0.5,0.5,0.5,0.0,0.0,1,2,2,53,0,2,0,0.49230769230769234,1.0
3,full,FT_K1,positive_mean_eligible,sentences,4,4,945,0.25,0.5,0.3333333333333333,0.0,0.0,1,4,2,84,0,4,0,0.49230769230769234,1.0
3,full,FT_K1,positive_mean_eligible,sentences,8,8,945,0.125,0.5,0.2,0.0,0.0,1,8,2,184,0,8,0,0.49230769230769234,1.0
3,full,FT_K3,signed_sum,all_body_tokens,0.05,48,945,1.0,0.5,0.6666666666666666,0.0,0.0,1,1,2,32,16,1,0,0.49230769230769234,0.5
3,full,FT_K3,signed_sum,all_body_tokens,0.1,95,945,0.3333333333333333,0.5,0.4,0.0,0.0,1,3,2,82,13,3,0,0.49230769230769234,1.0
3,full,FT_K3,signed_sum,all_body_tokens,0.2,189,945,0.2,0.5,0.28571428571428575,0.0,0.0,1,5,2,171,18,5,0,0.49230769230769234,1.0
3,full,FT_K3,signed_sum,sentences,2,2,945,0.5,0.5,0.5,0.0,0.0,1,2,2,53,0,2,0,0.49230769230769234,1.0
3,full,FT_K3,signed_sum,sentences,4,4,945,0.25,0.5,0.3333333333333333,0.0,0.0,1,4,2,134,0,4,0,0.49230769230769234,1.0
3,full,FT_K3,signed_sum,sentences,8,8,945,0.125,0.5,0.2,0.0,0.0,1,8,2,252,0,8,0,0.49230769230769234,1.0
3,full,FT_K3,positive_mean_eligible,all_body_tokens,0.05,48,945,1.0,0.5,0.6666666666666666,0.0,0.0,1,1,2,32,16,1,0,0.49230769230769234,0.5
3,full,FT_K3,positive_mean_eligible,all_body_tokens,0.1,95,945,0.3333333333333333,0.5,0.4,0.0,0.0,1,3,2,67,28,3,0,0.49230769230769234,1.0
3,full,FT_K3,positive_mean_eligible,all_body_tokens,0.2,189,945,0.125,0.5,0.2,0.0,0.0,1,8,2,184,5,8,0,0.49230769230769234,1.0
3,full,FT_K3,positive_mean_eligible,sentences,2,2,945,0.5,0.5,0.5,0.0,0.0,1,2,2,53,0,2,0,0.49230769230769234,1.0
3,full,FT_K3,positive_mean_eligible,sentences,4,4,945,0.25,0.5,0.3333333333333333,0.0,0.0,1,4,2,96,0,4,0,0.49230769230769234,1.0
3,full,FT_K3,positive_mean_eligible,sentences,8,8,945,0.125,0.5,0.2,0.0,0.0,1,8,2,184,0,8,0,0.49230769230769234,1.0
4,full,DT_target,signed_sum,all_body_tokens,0.05,60,1184,1.0,0.3333333333333333,0.5,0.0,0.0,1,1,3,27,33,1,0,0.25961538461538464,0.6666666666666666
4,full,DT_target,signed_sum,all_body_tokens,0.1,119,1184,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,2,3,3,105,14,3,0,0.6826923076923077,1.0
4,full,DT_target,signed_sum,all_body_tokens,0.2,237,1184,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.0,0.0,2,6,3,207,30,6,0,0.6826923076923077,1.0
4,full,DT_target,signed_sum,sentences,2,2,1184,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,71,0,2,0,0.6826923076923077,0.6666666666666666
4,full,DT_target,signed_sum,sentences,4,4,1184,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,2,4,3,135,0,4,0,0.6826923076923077,1.0
4,full,DT_target,signed_sum,sentences,8,8,1184,0.375,1.0,0.5454545454545454,0.0,1.0,3,8,3,274,0,8,0,1.0,1.0
4,full,DT_target,positive_mean_eligible,all_body_tokens,0.05,60,1184,1.0,0.3333333333333333,0.5,0.0,0.0,1,1,3,27,33,1,0,0.25961538461538464,0.6666666666666666
