index,target_mode,method,all_body_tokens,eligible_body_tokens,omitted_tokens,signed_body_sum,positive_body_sum,negative_body_sum
33,answer_conditioned,FT_K3,1095,1012,83,8.619477801141329,8.619477801141329,0.0
34,answer_conditioned,DT_target,1036,917,119,4.680286889957283,6.342951180082311,-1.6626642901250288
34,answer_conditioned,FT_K1,1036,917,119,3.061846046563005,3.061846046563005,0.0
34,answer_conditioned,FT_K3,1036,917,119,3.006883644935442,3.006883644935442,0.0
35,answer_conditioned,DT_target,1208,1065,143,6.961717185947381,8.971244218206223,-2.009527032258841
35,answer_conditioned,FT_K1,1208,1065,143,2.802665636234451,2.802665636234451,0.0
35,answer_conditioned,FT_K3,1208,1065,143,2.802490333109745,2.802490333109745,0.0
36,answer_conditioned,DT_target,1544,1358,186,-0.660321784846879,1.3568303646973883,-2.0171521495442675
36,answer_conditioned,FT_K1,1544,1358,186,7.338153743243311,7.338153743243311,0.0
36,answer_conditioned,FT_K3,1544,1358,186,7.1867347536899615,7.1867347536899615,0.0
37,answer_conditioned,DT_target,1183,1054,129,-5.598012008230725,3.6624097393762454,-9.260421747606971
37,answer_conditioned,FT_K1,1183,1054,129,23.610027065617032,23.610027065617032,0.0
37,answer_conditioned,FT_K3,1183,1054,129,22.598173453705385,22.598173453705385,0.0
38,answer_conditioned,DT_target,1303,1158,145,-5.756798216936081,1.5203334869840095,-7.277131703920091
38,answer_conditioned,FT_K1,1303,1158,145,14.576891261618584,14.576891261618584,0.0
38,answer_conditioned,FT_K3,1303,1158,145,14.372714128228836,14.372714128228836,0.0
39,answer_conditioned,DT_target,719,662,57,-1.6408492835473698,3.2806266673076996,-4.921475950855069
39,answer_conditioned,FT_K1,719,662,57,6.087320335325785,6.087320335325785,0.0
39,answer_conditioned,FT_K3,719,662,57,6.017017022299115,6.017017022299115,0.0
40,answer_conditioned,DT_target,1406,1230,176,3.903487478041474,8.718171211132596,-4.8146837330911225
40,answer_conditioned,FT_K1,1406,1230,176,1.299283049756923,1.299283049756923,0.0
40,answer_conditioned,FT_K3,1406,1230,176,1.3239004379938706,1.3239004379938706,0.0
41,answer_conditioned,DT_target,884,778,106,4.8447369331368595,7.47852426486205,-2.633787331725191
41,answer_conditioned,FT_K1,884,778,106,2.548363660564064,2.548363660564064,0.0
41,answer_conditioned,FT_K3,884,778,106,2.5257597333256854,2.5257597333256854,0.0
42,answer_conditioned,DT_target,1312,1236,76,0.0793092767089082,3.8159457788863653,-3.7366365021774577
42,answer_conditioned,FT_K1,1312,1236,76,3.1569654068443924,3.1569654068443924,0.0
42,answer_conditioned,FT_K3,1312,1236,76,2.9629574877326377,2.9629574877326377,0.0
43,answer_conditioned,DT_target,1259,1136,123,-0.5977077023721502,1.5013052002355516,-2.099012902607702
43,answer_conditioned,FT_K1,1259,1136,123,1.0861363955737033,1.0861363955737033,0.0
