model,scope,name,status,allocated_before,seconds,peak_allocated,peak_reserved,new_compiled_graphs,compiler_events_seconds_inclusive
qwen3,main,niah_mq_q2_25_original_FT_K1,returned,16449693696,0.8125968538224697,21194330112,24836571136,0,{}
qwen3,main,niah_mq_q2_25_FT_K1_original_metrics,returned,16449693696,4.8339186534285545,17177201152,24836571136,0,{}
qwen3,main,niah_mq_q2_25_original_FT_K3,returned,16449693696,1.307876791805029,21194330112,24836571136,0,{}
qwen3,main,niah_mq_q2_26_DT,returned,16449693696,1.1674450784921646,18668542976,24836571136,0,{}
qwen3,main,niah_mq_q2_26_DT_positive_original_metrics,returned,16449693696,4.918009653687477,17179632128,24836571136,0,{}
qwen3,main,niah_mq_q2_26_original_FT_K1,returned,16449693696,0.8275443501770496,21221576192,24836571136,0,{}
qwen3,main,niah_mq_q2_26_FT_K1_original_metrics,returned,16449693696,4.870375905185938,17179632128,24836571136,0,{}
qwen3,main,niah_mq_q2_26_original_FT_K3,returned,16449693696,1.2519241832196712,21221576192,24836571136,0,{}
qwen3,main,niah_mq_q2_27_DT,returned,16449696768,1.1648367270827293,18749103616,24836571136,0,{}
qwen3,main,niah_mq_q2_27_DT_positive_original_metrics,returned,16449696768,4.709180109202862,17202124288,24836571136,0,{}
qwen3,main,niah_mq_q2_27_original_FT_K1,returned,16449696768,0.793711107224226,21476040704,24836571136,0,{}
qwen3,main,niah_mq_q2_27_FT_K1_original_metrics,returned,16449696768,4.688370641320944,17202124288,24836571136,0,{}
qwen3,main,niah_mq_q2_27_original_FT_K3,returned,16449696768,1.2667717151343822,21476040704,24836571136,0,{}
qwen3,main,niah_mq_q2_28_DT,returned,16449695744,1.301077514886856,18832432128,24836571136,0,{}
qwen3,main,niah_mq_q2_28_DT_positive_original_metrics,returned,16449695744,5.1409842222929,17222178304,24836571136,0,{}
qwen3,main,niah_mq_q2_28_original_FT_K1,returned,16449695744,0.8761684373021126,21704728576,24836571136,0,{}
qwen3,main,niah_mq_q2_28_FT_K1_original_metrics,returned,16449695744,5.0973057597875595,17222178304,24836571136,0,{}
qwen3,main,niah_mq_q2_28_original_FT_K3,returned,16449695744,1.3229157961905003,21704728576,24836571136,0,{}
qwen3,main,niah_mq_q2_29_DT,returned,16449673728,0.6960314773023129,17854720000,24836571136,0,{}
qwen3,main,niah_mq_q2_29_DT_positive_original_metrics,returned,16449673728,2.2075189650058746,16859314688,24836571136,0,{}
